Episode,Avg_Reward,Avg_Length,Epsilon
4900,-472.92414996593106,141.43,0.9300142857142857
5000,-477.211609730082,142.46,0.9285857142857143
5100,-468.0948761487312,147.75,0.9271571428571429
5200,-465.52468543547263,144.29,0.9257285714285715
5300,-477.8016187470507,141.92,0.9243
5400,-482.8354109055584,146.34,0.9228714285714286
5500,-475.1367496799903,145.11,0.9214428571428571
5600,-483.2924338124991,142.97,0.9200142857142857
5700,-472.32794251017765,145.57,0.9185857142857143
5800,-469.121449913177,147.12,0.9171571428571429
5900,-479.9452425020761,140.32,0.9157285714285714
6000,-484.0076281547064,139.09,0.9143
6100,-489.7619635637439,140.1,0.9128714285714286
6200,-465.5651651589502,150.16,0.9114428571428571
6300,-485.02327111135384,145.57,0.9100142857142857
6400,-474.6969494966751,148.09,0.9085857142857143
6500,-468.13036997934597,147.32,0.9071571428571429
6600,-475.48111269233465,142.88,0.9057285714285714
6700,-466.58120142075904,151.8,0.9043
6800,-462.4843098124379,153.35,0.9028714285714285
6900,-482.23632662503616,149.72,0.9014428571428571
7000,-472.51676778985086,145.82,0.9000142857142857
7100,-470.03342866979654,145.34,0.8985857142857143
7200,-486.20650298765986,143.95,0.8971571428571429
7300,-475.0793292850179,139.63,0.8957285714285714
7400,-461.1974874904523,147.61,0.8943
7500,-465.2962265183414,150.38,0.8928714285714285
7600,-459.50875420041086,157.04,0.8914428571428572
7700,-470.7131924099223,146.34,0.8900142857142858
7800,-473.11831010750365,142.58,0.8885857142857143
7900,-467.9522188139488,157.8,0.8871571428571429
8000,-462.10134996589085,150.37,0.8857285714285714
8100,-466.40590332336996,150.85,0.8843
8200,-470.50738991483445,144.16,0.8828714285714285
8300,-463.6430104739356,137.09,0.8814428571428572
8400,-463.45350529268353,148.55,0.8800142857142857
8500,-488.15498402977755,139.7,0.8785857142857143
8600,-478.1198787337612,132.48,0.8771571428571429
8700,-469.16667716071066,139.05,0.8757285714285714
8800,-465.3128448343366,154.22,0.8743
8900,-474.6769371226193,143.68,0.8728714285714285
9000,-477.8951029129258,140.95,0.8714428571428572
9100,-461.886559367499,151.64,0.8700142857142857
9200,-471.3587112412996,145.75,0.8685857142857143
9300,-478.3606732838816,142.89,0.8671571428571428
9400,-464.78683696817825,141.22,0.8657285714285714
9500,-449.849684227583,152.6,0.8643000000000001
9600,-474.3834215628796,146.14,0.8628714285714285
9700,-467.76875845419914,144.71,0.8614428571428572
9800,-459.2717367770809,151.56,0.8600142857142857
9900,-468.3727804414827,146.24,0.8585857142857143
10000,-463.8408789062604,151.8,0.8571571428571428
10100,-461.77412026394563,151.05,0.8557285714285714
10200,-469.90947717395824,145.37,0.8543000000000001
10300,-462.0141539100825,152.17,0.8528714285714285
10400,-457.44154788299124,147.68,0.8514428571428572
10500,-476.39235663950467,147.71,0.8500142857142857
10600,-445.17232924828744,160.57,0.8485857142857143
10700,-474.6832571408928,139.82,0.8471571428571428
10800,-464.689841186952,157.44,0.8457285714285714
10900,-455.5403313794977,148.17,0.8443
11000,-454.4802950934232,153.12,0.8428714285714286
11100,-462.94113731373216,154.22,0.8414428571428572
11200,-477.616568120435,138.82,0.8400142857142857
11300,-459.24843442164206,154.31,0.8385857142857143
11400,-466.2231748630051,144.14,0.8371571428571428
11500,-463.5212264435875,152.77,0.8357285714285714
11600,-458.64316469960767,151.27,0.8343
11700,-453.24762712984244,150.36,0.8328714285714286
11800,-457.8400758993773,148.52,0.8314428571428572
11900,-458.2198674005914,156.62,0.8300142857142857
12000,-448.84649029020545,152.07,0.8285857142857143
12100,-467.8995060277875,147.59,0.8271571428571429
12200,-439.2891751638202,158.82,0.8257285714285714
12300,-452.2670389092837,163.06,0.8243
12400,-454.31069857505827,150.79,0.8228714285714286
12500,-468.71934936581215,149.5,0.8214428571428571
12600,-461.4725108067945,155.78,0.8200142857142857
12700,-452.9663136212086,150.64,0.8185857142857142
12800,-461.6966208231482,148.37,0.8171571428571429
12900,-436.52427845564205,163.2,0.8157285714285715
13000,-452.0556801094424,155.26,0.8143
13100,-472.88877758513235,145.67,0.8128714285714286
13200,-460.66340559571273,153.89,0.8114428571428571
13300,-464.2619884083531,151.49,0.8100142857142857
13400,-455.43887437983227,146.77,0.8085857142857142
13500,-454.52658887491043,149.88,0.8071571428571429
13600,-466.6773750131969,151.99,0.8057285714285715
13700,-461.64195590269753,155.37,0.8043
13800,-477.6832619573117,142.86,0.8028714285714286
13900,-468.51132475213495,148.45,0.8014428571428571
14000,-466.82721520083265,144.39,0.8000142857142857
14100,-447.6236251873789,158.11,0.7985857142857142
14200,-452.4394016241138,167.15,0.7971571428571429
14300,-459.21221742077944,155.31,0.7957285714285715
14400,-440.4187685814798,161.68,0.7943
14500,-464.4310541453208,149.08,0.7928714285714286
14600,-454.5365231149327,161.09,0.7914428571428571
14700,-446.125756082798,159.48,0.7900142857142858
14800,-450.6123624848298,153.22,0.7885857142857142
14900,-441.2423448750661,158.7,0.7871571428571429
15000,-430.372924581292,165.75,0.7857285714285714
15100,-444.95470513124155,155.48,0.7843
15200,-461.9837357716679,152.13,0.7828714285714286
15300,-452.5528376045388,161.48,0.7814428571428571
15400,-465.29515248472273,154.79,0.7800142857142858
15500,-437.31297112262837,160.76,0.7785857142857143
15600,-452.4672846147625,155.41,0.7771571428571429
15700,-452.3161005066711,150.92,0.7757285714285714
15800,-446.63111739594393,160.43,0.7743
15900,-447.81802813782065,165.5,0.7728714285714285
16000,-457.1653409862179,156.41,0.7714428571428571
16100,-456.15755985899324,153.28,0.7700142857142858
16200,-442.59712220223906,155.57,0.7685857142857143
16300,-437.3937794103923,160.32,0.7671571428571429
16400,-446.7110053610397,161.66,0.7657285714285714
16500,-459.07379934905805,160.22,0.7643
16600,-434.51283950070393,161.71,0.7628714285714285
16700,-453.8130478385981,160.31,0.7614428571428571
16800,-459.1587809193021,151.52,0.7600142857142858
16900,-447.80939434997936,159.83,0.7585857142857143
17000,-440.6135179196629,159.7,0.7571571428571429
17100,-436.24975527259505,156.66,0.7557285714285714
17200,-457.4663386569899,158.52,0.7543
17300,-450.0929181204574,157.59,0.7528714285714286
17400,-444.5037464169936,168.39,0.7514428571428571
17500,-440.78753662795754,167.32,0.7500142857142857
17600,-443.03950663800293,156.12,0.7485857142857143
17700,-437.81853813367036,168.59,0.7471571428571429
17800,-436.9786721030481,160.76,0.7457285714285714
17900,-437.2809682871137,153.84,0.7443
18000,-462.6888067556876,149.83,0.7428714285714286
18100,-436.96005756307073,171.89,0.7414428571428571
18200,-402.88994152624434,177.42,0.7400142857142857
18300,-431.2805838183876,169.42,0.7385857142857143
18400,-456.8591185759553,155.64,0.7371571428571428
18500,-433.1970079067841,164.1,0.7357285714285715
18600,-464.0598910318934,151.72,0.7343
18700,-444.80959152410423,160.61,0.7328714285714286
18800,-432.23045533066556,169.48,0.7314428571428571
18900,-426.23530024041776,168.76,0.7300142857142857
19000,-422.52709358352485,168.53,0.7285857142857143
19100,-430.9240527370992,180.74,0.7271571428571428
19200,-430.4050142259907,167.4,0.7257285714285715
19300,-440.6212358269326,164.21,0.7242999999999999
19400,-447.0530065783563,171.08,0.7228714285714286
19500,-456.6558461006447,155.52,0.7214428571428572
19600,-430.03406869918865,172.97,0.7200142857142857
19700,-440.6581060465245,162.48,0.7185857142857143
19800,-455.27882509135054,158.0,0.7171571428571428
19900,-431.49624985306,170.89,0.7157285714285715
20000,-449.35970626344164,163.51,0.7142999999999999
20100,-455.4970920710108,164.42,0.7128714285714286
20200,-456.14788828094703,158.15,0.7114428571428572
20300,-424.1485991030945,161.46,0.7100142857142857
20400,-441.39381075003183,161.05,0.7085857142857143
20500,-420.5299257131448,169.67,0.7071571428571428
20600,-442.295923399456,161.28,0.7057285714285715
20700,-395.68666162362985,181.04,0.7042999999999999
20800,-443.2577011911901,161.53,0.7028714285714286
20900,-422.3224719622984,169.39,0.7014428571428571
21000,-442.9630116810468,163.87,0.7000142857142857
21100,-412.13690926935817,179.44,0.6985857142857144
21200,-443.04270624124155,159.57,0.6971571428571428
21300,-449.3070345474813,166.45,0.6957285714285715
21400,-441.28407484161204,158.66,0.6942999999999999
21500,-422.8503534550996,174.0,0.6928714285714286
21600,-417.3590270611447,173.91,0.6914428571428571
21700,-424.43308640063566,165.74,0.6900142857142857
21800,-432.85424157749156,163.3,0.6885857142857144
21900,-424.12534318448945,166.82,0.6871571428571428
22000,-438.3842251063499,164.1,0.6857285714285715
22100,-411.32207357517734,169.51,0.6843
22200,-429.0439974468333,168.41,0.6828714285714286
22300,-418.94837896174,183.81,0.6814428571428571
22400,-428.1655056239945,160.39,0.6800142857142857
22500,-422.1128584810485,172.22,0.6785857142857143
22600,-427.34536902879523,176.73,0.6771571428571428
22700,-430.54907421325936,172.44,0.6757285714285715
22800,-432.28266007335066,174.32,0.6743
22900,-444.6813452270766,166.2,0.6728714285714286
23000,-419.6280142235147,182.81,0.6714428571428571
23100,-417.4770162058755,184.1,0.6700142857142857
23200,-429.52630926522374,167.12,0.6685857142857143
23300,-411.304930802352,180.22,0.6671571428571428
23400,-404.86043273411275,187.18,0.6657285714285714
23500,-427.68283236861794,172.37,0.6643
23600,-426.1319128953386,177.28,0.6628714285714286
23700,-446.20309285288704,160.46,0.6614428571428572
23800,-425.03733041233977,167.34,0.6600142857142857
23900,-423.20760428344477,173.04,0.6585857142857143
24000,-429.7366544864137,174.83,0.6571571428571429
24100,-407.21021332939415,194.42,0.6557285714285714
24200,-399.3736218630433,186.28,0.6543
24300,-427.38869564315814,175.47,0.6528714285714285
24400,-400.93328698505684,198.35,0.6514428571428572
24500,-414.7626539858863,185.16,0.6500142857142857
24600,-425.8965757322006,173.04,0.6485857142857143
24700,-428.3813719023277,165.37,0.6471571428571429
24800,-408.86221117261607,178.32,0.6457285714285714
24900,-398.90354941204293,185.18,0.6443
25000,-434.0984224999007,174.68,0.6428714285714285
25100,-395.53577380123147,194.03,0.6414428571428572
25200,-417.01645261850587,171.8,0.6400142857142856
25300,-424.4239403769724,176.72,0.6385857142857143
25400,-416.2736850955373,189.99,0.6371571428571429
25500,-413.4615303070721,179.96,0.6357285714285714
25600,-405.4292177051895,194.86,0.6343
25700,-412.20155575481675,184.2,0.6328714285714285
25800,-404.09502430270385,182.71,0.6314428571428572
25900,-398.03170031144697,197.23,0.6300142857142856
26000,-409.33940921339257,184.9,0.6285857142857143
26100,-431.9221345011941,171.07,0.6271571428571429
26200,-401.12808714246535,181.01,0.6257285714285714
26300,-385.856496723679,202.89,0.6243000000000001
26400,-413.58148159971245,186.69,0.6228714285714285
26500,-438.25790103552566,167.29,0.6214428571428572
26600,-400.5791689213552,193.48,0.6200142857142857
26700,-402.01094663148615,191.05,0.6185857142857143
26800,-418.58464869243375,172.03,0.6171571428571428
26900,-415.7903798918373,181.77,0.6157285714285714
27000,-390.1938371692511,191.12,0.6143000000000001
27100,-400.7814027514684,178.93,0.6128714285714285
27200,-425.99849169367104,176.98,0.6114428571428572
27300,-412.09342940636884,179.04,0.6100142857142857
27400,-420.5933653223895,173.98,0.6085857142857143
27500,-413.6941186482984,184.26,0.6071571428571428
27600,-392.8286000425363,194.1,0.6057285714285714
27700,-388.90312696762345,192.25,0.6043000000000001
27800,-405.8909684103484,184.3,0.6028714285714285
27900,-392.77841099747695,178.33,0.6014428571428572
28000,-376.6047289398397,199.22,0.6000142857142857
28100,-412.82133786733357,170.79,0.5985857142857143
28200,-447.4914863391717,151.17,0.5971571428571428
28300,-398.9244967379186,182.79,0.5957285714285714
28400,-406.10280376320907,186.31,0.5943
28500,-402.3157156744903,196.81,0.5928714285714285
28600,-389.76582832794367,199.49,0.5914428571428572
28700,-395.48672123624704,190.62,0.5900142857142857
28800,-400.57967813507986,186.56,0.5885857142857143
28900,-377.5794736715677,200.64,0.5871571428571429
29000,-406.56317490118266,185.84,0.5857285714285714
29100,-403.0411497738727,188.46,0.5843
29200,-392.16447097641816,184.21,0.5828714285714286
29300,-408.3027316273726,188.62,0.5814428571428572
29400,-397.30651470997395,187.63,0.5800142857142857
29500,-392.1775874917472,190.93,0.5785857142857143
29600,-398.10109566151294,184.53,0.5771571428571429
29700,-392.19363664744947,199.77,0.5757285714285714
29800,-385.6484080191554,200.88,0.5743
29900,-396.6204141099048,184.64,0.5728714285714286
30000,-410.2542433406172,179.46,0.5714428571428571
30100,-416.5035793395046,188.24,0.5700142857142857
30200,-369.1404809930599,209.49,0.5685857142857142
30300,-371.6134063585903,197.15,0.5671571428571429
30400,-330.4084251472002,216.71,0.5657285714285714
30500,-355.1963793163712,199.36,0.5643
30600,-381.35599699645405,206.79,0.5628714285714286
30700,-373.47208847397735,204.7,0.5614428571428571
30800,-416.06754892844015,163.94,0.5600142857142857
30900,-361.08585304786624,202.32,0.5585857142857142
31000,-391.0847863481644,193.19,0.5571571428571429
31100,-358.83087981555576,214.92,0.5557285714285713
31200,-372.63067513457884,207.04,0.5543
31300,-366.69949937067656,205.71,0.5528714285714286
31400,-349.9808063921122,224.21,0.5514428571428571
31500,-369.08545347626233,221.97,0.5500142857142858
31600,-351.85433230791745,211.94,0.5485857142857142
31700,-377.40980914554825,212.02,0.5471571428571429
31800,-376.8290007544544,206.62,0.5457285714285715
31900,-402.8073342701344,207.8,0.5443
32000,-404.1432043272544,184.5,0.5428714285714286
32100,-377.4101414916529,218.91,0.5414428571428571
32200,-373.66948827225156,207.28,0.5400142857142858
32300,-366.5067859034792,216.24,0.5385857142857142
32400,-412.90842365937567,174.03,0.5371571428571429
32500,-360.94970150433716,200.7,0.5357285714285714
32600,-327.64357746907075,219.79,0.5343
32700,-385.9406301987356,198.55,0.5328714285714286
32800,-354.78296079828505,207.4,0.5314428571428571
32900,-329.81286305996656,212.44,0.5300142857142858
33000,-370.8121771267886,204.49,0.5285857142857142
33100,-345.2854979875153,208.83,0.5271571428571429
33200,-377.49906717792635,192.25,0.5257285714285714
33300,-358.5291133111183,211.22,0.5243
33400,-327.4332321852496,234.56,0.5228714285714287
33500,-361.5446227470952,218.15,0.5214428571428571
33600,-412.84175080152227,193.72,0.5200142857142858
33700,-364.60690377666396,229.43,0.5185857142857142
33800,-344.72759557627893,215.67,0.5171571428571429
33900,-329.50605361002454,233.51,0.5157285714285714
34000,-355.7087700314493,197.88,0.5143
34100,-380.91177436363427,195.68,0.5128714285714286
34200,-346.2532493788713,209.6,0.5114428571428571
34300,-352.7511401651521,205.97,0.5100142857142858
34400,-365.9533068976231,216.22,0.5085857142857143
34500,-392.5600407869729,193.07,0.5071571428571429
34600,-364.1289019980158,217.66,0.5057285714285714
34700,-331.95165250308105,212.98,0.5043
34800,-337.96735910485177,233.21,0.5028714285714286
34900,-323.22504861592387,248.61,0.5014428571428571
35000,-328.09663102518954,227.69,0.5000142857142857
35100,-331.294958235743,223.4,0.4985857142857143
35200,-376.692037181868,203.76,0.49715714285714285
35300,-380.65477347418596,201.06,0.4957285714285714
35400,-302.59790203664664,249.42,0.49429999999999996
35500,-290.6613881941788,229.03,0.4928714285714285
35600,-325.6572654907089,232.04,0.4914428571428572
35700,-310.63201253336246,235.96,0.49001428571428574
35800,-395.30110651944284,181.55,0.4885857142857143
35900,-392.1077748731355,205.34,0.48715714285714284
36000,-322.8520704435587,235.79,0.4857285714285714
36100,-336.120952572069,233.14,0.48429999999999995
36200,-294.56561085856583,229.46,0.4828714285714286
36300,-394.58687813442396,197.74,0.4814428571428572
36400,-377.4265098496097,197.42,0.4800142857142857
36500,-362.193431123496,202.39,0.4785857142857143
36600,-370.91203709652297,216.69,0.47715714285714284
36700,-357.24105784356493,206.97,0.4757285714285714
36800,-340.6626390455541,225.45,0.47430000000000005
36900,-359.243181904621,221.49,0.4728714285714286
37000,-307.91048097671245,232.63,0.47144285714285716
37100,-326.06033205977144,222.99,0.4700142857142857
37200,-318.0527674425979,240.17,0.46858571428571427
37300,-316.28973668543154,247.97,0.4671571428571428
37400,-345.90987412949687,234.29,0.4657285714285714
37500,-313.88409504256424,230.08,0.46430000000000005
37600,-347.32462400900454,204.63,0.4628714285714286
37700,-337.3752916615023,225.98,0.46144285714285715
37800,-381.62626096487503,211.41,0.4600142857142857
37900,-338.5664603447209,219.8,0.45858571428571426
38000,-333.1897348841632,232.08,0.4571571428571428
38100,-292.39369424574056,240.57,0.4557285714285715
38200,-255.34089376264308,243.12,0.45430000000000004
38300,-349.79769645046804,232.53,0.4528714285714286
38400,-308.89397862139106,241.51,0.45144285714285715
38500,-324.4299101916729,241.55,0.4500142857142857
38600,-284.10654047686637,251.25,0.44858571428571425
38700,-330.97224599638577,223.68,0.4471571428571428
38800,-241.13204423595417,262.42,0.4457285714285715
38900,-275.69017651078246,236.71,0.44430000000000003
39000,-325.7093989291427,223.93,0.4428714285714286
39100,-305.25542758151965,254.37,0.44144285714285714
39200,-310.35838269851524,247.37,0.4400142857142857
39300,-330.7741214998761,223.81,0.43858571428571425
39400,-323.09893254587996,216.32,0.4371571428571429
39500,-343.2217524148425,209.18,0.43572857142857147
39600,-308.5077038861506,246.25,0.4343
39700,-315.217901087838,236.54,0.4328714285714286
39800,-299.4499776246189,250.1,0.43144285714285713
39900,-255.37717496198968,259.3,0.4300142857142857
40000,-345.63732419784935,226.17,0.42858571428571424
40100,-302.2902976531036,238.45,0.4271571428571429
40200,-282.09971626521974,239.3,0.42572857142857146
40300,-241.23964678165575,260.62,0.4243
40400,-279.3865969787333,250.5,0.42287142857142856
40500,-292.5039450061146,248.96,0.4214428571428571
40600,-275.2333937735509,253.95,0.4200142857142857
40700,-326.24762031725993,246.23,0.41858571428571434
40800,-215.6992063910511,281.52,0.4171571428571429
40900,-293.5105203199478,234.63,0.41572857142857145
41000,-278.6963162723004,221.19,0.4143
41100,-266.6506361801167,237.82,0.41287142857142856
41200,-254.04854915600353,251.65,0.4114428571428571
41300,-252.65769825452477,258.81,0.41001428571428566
41400,-277.93336801373493,234.53,0.40858571428571433
41500,-279.28500449279704,248.86,0.4071571428571429
41600,-275.5796733145256,240.08,0.40572857142857144
41700,-251.84151964728767,257.28,0.4043
41800,-268.1246114986471,255.89,0.40287142857142855
41900,-281.4786862975672,264.16,0.4014428571428571
42000,-274.8715446897427,255.53,0.40001428571428577
42100,-221.1753312359174,284.1,0.3985857142857143
42200,-292.98234501710635,239.2,0.3971571428571429
42300,-259.0250741486633,260.3,0.39572857142857143
42400,-294.5372498124949,251.86,0.3943
42500,-276.3550413535475,245.24,0.39287142857142854
42600,-273.3294037556267,252.89,0.3914428571428571
42700,-299.9740641771748,242.96,0.39001428571428576
42800,-319.44807995419615,237.54,0.3885857142857143
42900,-246.8261396641019,257.22,0.38715714285714287
43000,-231.06138899698934,260.09,0.3857285714285714
43100,-306.5477779202192,240.53,0.3843
43200,-297.7568827671893,261.53,0.38287142857142853
43300,-260.55375188347193,247.56,0.3814428571428572
43400,-228.09784383761829,283.43,0.38001428571428575
43500,-263.79415059288283,266.24,0.3785857142857143
43600,-259.2290790693201,280.47,0.37715714285714286
43700,-232.53555619529362,280.8,0.3757285714285714
43800,-285.5216171140748,252.65,0.37429999999999997
43900,-286.6707093532664,247.4,0.3728714285714285
44000,-220.68914756386505,283.31,0.3714428571428572
44100,-242.69240534273035,287.15,0.37001428571428574
44200,-201.3264840986464,300.78,0.3685857142857143
44300,-313.71265965203105,226.47,0.36715714285714285
44400,-239.615064587903,272.98,0.3657285714285714
44500,-266.5817149850425,250.91,0.36429999999999996
44600,-265.6315831434497,257.77,0.3628714285714286
44700,-249.2464828575641,267.66,0.3614428571428572
44800,-218.1997536322122,285.44,0.36001428571428573
44900,-210.03028029096058,290.54,0.3585857142857143
45000,-224.01106430135889,261.74,0.35715714285714284
45100,-186.25769988881373,266.35,0.3557285714285714
45200,-233.09006930567833,277.31,0.35429999999999995
45300,-209.55837501073773,280.01,0.3528714285714286
45400,-134.47150544623364,313.77,0.35144285714285717
45500,-220.943715774828,289.98,0.3500142857142857
45600,-205.09896247999214,275.58,0.3485857142857143
45700,-188.99520520288945,288.29,0.34715714285714283
45800,-254.69996901745057,269.88,0.3457285714285714
45900,-105.06466448570187,322.76,0.34430000000000005
46000,-203.42290443260248,284.56,0.3428714285714286
46100,-214.16434996109766,288.1,0.34144285714285716
46200,-206.64474772862573,307.94,0.3400142857142857
46300,-252.98753492615876,258.17,0.33858571428571427
46400,-167.9923922514496,306.67,0.3371571428571428
46500,-204.37220444887217,289.47,0.3357285714285714
46600,-219.2962332228536,264.79,0.33430000000000004
46700,-159.04543252984504,296.38,0.3328714285714286
46800,-128.10211054755834,316.22,0.33144285714285715
46900,-187.29707507397706,283.78,0.3300142857142857
47000,-213.35548792580926,269.94,0.32858571428571426
47100,-116.49248827227126,300.29,0.3271571428571428
47200,-173.47023546893834,287.44,0.3257285714285715
47300,-45.09746223146186,333.41,0.32430000000000003
47400,-157.17131963121963,344.58,0.3228714285714286
47500,-148.3984837997749,285.83,0.32144285714285714
47600,-143.5807381862087,317.41,0.3200142857142857
47700,-101.40322191171299,341.34,0.31858571428571425
47800,-147.13805675586758,296.56,0.3171571428571428
47900,-248.49045767215202,269.67,0.31572857142857147
48000,-178.34751392567586,292.46,0.3143
48100,-124.27892391294583,319.6,0.3128714285714286
48200,-47.125348938991195,360.24,0.31144285714285713
48300,-103.65409754322815,309.49,0.3100142857142857
48400,-134.13300369349452,307.72,0.30858571428571424
48500,-79.87552941603629,321.99,0.3071571428571429
48600,-190.05392191828642,290.23,0.30572857142857146
48700,-128.245612644894,338.79,0.3043
48800,-165.38092687894223,299.41,0.30287142857142857
48900,-214.40148316813128,272.25,0.3014428571428571
49000,-192.08657645336237,302.25,0.3000142857142857
49100,-121.84979705530402,312.19,0.29858571428571423
49200,-65.0973063629404,375.53,0.2971571428571429
49300,-236.8995724166478,258.16,0.29572857142857145
49400,-180.06672068659842,263.1,0.2943
49500,-115.41699931226765,322.67,0.29287142857142856
49600,-119.93498785538284,320.41,0.2914428571428571
49700,-47.646435434862326,350.4,0.29001428571428567
49800,-77.01291306488504,301.7,0.28858571428571433
49900,-111.0396217644213,302.0,0.2871571428571429
50000,-18.752263750350064,357.72,0.28572857142857144
50100,-68.47898653332481,328.49,0.2843
50200,-15.711827825101771,363.84,0.28287142857142855
50300,-19.768050802482698,353.09,0.2814428571428571
50400,-57.16041860973517,334.78,0.28001428571428566
50500,-190.84948838106135,264.74,0.2785857142857143
50600,-81.99738479524557,334.76,0.2771571428571429
50700,-137.7286465477298,317.28,0.27572857142857143
50800,-93.35857455661005,350.36,0.2743
50900,-94.23370783444892,347.27,0.27287142857142854
51000,-128.45801305969056,364.52,0.2714428571428571
51100,-93.04456209898294,368.69,0.27001428571428576
51200,-106.87555552762937,360.11,0.2685857142857143
51300,-118.79546885913084,334.55,0.26715714285714287
51400,-129.24609242115633,310.95,0.2657285714285714
51500,-38.65647059152682,376.59,0.2643
51600,-128.70513924827586,305.2,0.26287142857142853
51700,-12.683253298226026,383.16,0.2614428571428571
51800,-64.39272088318268,381.54,0.26001428571428575
51900,-110.10587634830055,314.01,0.2585857142857143
52000,-109.9401538221946,319.38,0.25715714285714286
52100,24.73514502484803,406.87,0.2557285714285714
52200,-130.2564953416918,331.86,0.25429999999999997
52300,-83.85194561054837,313.39,0.2528714285714285
52400,13.875033354969087,378.06,0.2514428571428572
52500,-48.718073509473285,337.47,0.25001428571428574
52600,-214.81015742966335,287.36,0.2485857142857143
52700,-144.98534782674668,332.61,0.24715714285714285
52800,-69.34646899612447,325.91,0.2457285714285714
52900,-49.65962816060499,363.88,0.24429999999999996
53000,-60.072809696001876,331.25,0.24287142857142852
53100,-102.64752984720383,323.29,0.24144285714285718
53200,15.296691909409194,393.42,0.24001428571428574
53300,-96.52339158314214,325.36,0.2385857142857143
53400,-16.402257407484544,368.26,0.23715714285714284
53500,23.18015901522459,381.4,0.2357285714285714
53600,-33.028287708356686,378.65,0.23429999999999995
53700,0.3388880233889961,372.4,0.23287142857142862
53800,39.73061313348942,376.77,0.23144285714285717
53900,48.13319100064369,409.96,0.23001428571428573
54000,11.220029007438198,438.04,0.22858571428571428
54100,44.98874282057267,436.43,0.22715714285714284
54200,-36.46842179677622,337.41,0.2257285714285714
54300,-131.3252893756597,306.26,0.22430000000000005
54400,-48.967748382534964,378.84,0.2228714285714286
54500,-18.023860866776744,356.05,0.22144285714285716
54600,43.29089359394337,371.5,0.22001428571428572
54700,63.85514010731779,368.03,0.21858571428571427
54800,8.260632336099167,405.21,0.21715714285714283
54900,39.83757325360083,419.58,0.21572857142857138
55000,-32.80545534958668,386.03,0.21430000000000005
55100,-27.487085323608827,373.95,0.2128714285714286
55200,-86.7003400731055,340.39,0.21144285714285715
55300,101.88666447002782,415.62,0.2100142857142857
55400,-125.60589294381347,317.65,0.20858571428571426
55500,7.064567649868643,396.11,0.20715714285714282
55600,-4.761677191467523,361.86,0.20572857142857148
55700,-11.651231188784843,370.58,0.20430000000000004
55800,29.530649119448952,425.88,0.2028714285714286
55900,-149.22532772361726,304.45,0.20144285714285715
56000,105.88536632371316,423.8,0.2000142857142857
56100,-4.620168303825681,366.02,0.19858571428571425
56200,-12.671577345367169,427.79,0.1971571428571428
56300,-74.6372745107048,322.47,0.19572857142857147
56400,35.929215269806825,390.44,0.19430000000000003
56500,115.57673518828531,394.22,0.19287142857142858
56600,56.69618205670667,443.04,0.19144285714285714
56700,97.37141550116198,437.24,0.1900142857142857
56800,80.14238380914547,484.48,0.18858571428571425
