time,voltage,motor_pos,pend_pos,motor_spd,pend_spd,current
0.0,0.0,-0.008934985241770763,3.1542187402494664,-0.005130408410425419,-0.009777744087476337,3.551869223604304e-05
0.002,0.0,-0.00894423706910174,3.154196063431655,-0.004152341215558626,-0.012867686551573882,2.8867097989327024e-05
0.004,0.0,-0.00895170703522113,3.154167384397366,-0.0033432238590614975,-0.015784987719920564,2.3363839906209872e-05
0.006,0.0,-0.00895770174661923,3.1541330188798278,-0.002668357009786209,-0.018562571440397635,1.881120624698603e-05
0.008,0.0,-0.008962394820373632,3.154093153923905,-0.002025484577092169,-0.021300112574820566,1.5013955441730402e-05
0.01,0.0,-0.008965805838295138,3.15404782702626,-0.001386400773215469,-0.02402420741260025,1.1396726553771938e-05
0.012,0.0,-0.008967942980714445,3.1539970669172916,-0.0007517081122756894,-0.026733019790304565,7.800815017292372e-06
0.014,0.0,-0.008968815630550858,3.1539409059904964,-0.00012200660229073445,-0.029424722978554998,4.229610978404546e-06
0.016,0.0,-0.008968434367897625,3.1538793802823695,0.0005021066569160873,-0.03209750091104263,6.864904822225325e-07
0.018000000000000002,0.0,-0.008966810963804703,3.153812529449856,0.0011200378741449823,-0.0347495494070651,-2.8251867895811844e-06
0.020000000000000004,0.0,-0.008963958373262554,3.1537403967453623,0.0017311969653253443,-0.037379077386773756,-6.302079771855767e-06
0.022000000000000006,0.0,-0.008959890727391054,3.153663028989346,0.0023349979498388093,-0.039984308078322046,-9.740868258230606e-06
0.024000000000000007,0.0,-0.008954623324838163,3.1535804765404998,0.0029308593444017103,-0.04256348021611289,-1.3138255131093034e-05
0.02600000000000001,0.0,-0.008948172622393499,3.153492793263548,0.0035182045542491544,-0.045114849229345534,-1.6490968577833626e-05
0.02800000000000001,0.0,-0.008940556224822429,3.153400036494679,0.004096462261363726,-0.04763668842006761,-1.9795764291908576e-05
0.030000000000000013,0.0,-0.0089317928739269,3.1533022670046273,0.004665066809493423,-0.05012729012994547,-2.3049427657273234e-05
0.032000000000000015,0.0,-0.008921902436839645,3.1531995489594418,0.005223458585703733,-0.05258496689496943,-2.6248775914749657e-05
0.034000000000000016,0.0,-0.008910905893558954,3.1530919498789496,0.005771084398210696,-0.05500805258731929,-2.9390660308893007e-05
0.03600000000000002,0.0,-0.008898825323731731,3.152979540592954,0.006307397850242517,-0.057394903543620486,-3.247196821393219e-05
0.03800000000000002,0.0,-0.008885683892692994,3.1528623951951893,0.00683185970967976,-0.05974389967883147,-3.5489625237364566e-05
0.04000000000000002,0.0,-0.008871505836770524,3.152740590995062,0.007343938274224777,-0.06205344558500783,-3.844059729979812e-05
0.04200000000000002,0.0,-0.008856316447863865,3.1526142084672113,0.007843109731853835,-0.06432197161419988,-4.1321892689638084e-05
0.044000000000000025,0.0,-0.00884014205730733,3.1524833311989213,0.008328858516306995,-0.06654793494474842,-4.413056409123092e-05
0.04600000000000003,0.0,-0.0088230100190272,3.152348045835414,0.008800677657372859,-0.06872982063025226,-4.686371058508736e-05
0.04800000000000003,0.0,-0.008804948692003758,3.152208442023066,0.009258069125728116,-0.07086614263049265,-4.951847961881796e-05
0.05000000000000003,0.0,-0.008785987422049295,3.1520646123505807,0.00970054417209389,-0.07295544482360881,-5.2092068947430205e-05
0.05200000000000003,0.0,-0.008766156522913678,3.1519166522881545,0.010127623660474133,-0.07499630199883131,-5.4581728541648286e-05
0.054000000000000034,0.0,-0.00874548725672955,3.1517646601246803,0.010538838395243649,-0.07698732082908995,-5.698476246293445e-05
0.056000000000000036,0.0,-0.008724011813809713,3.151608736903023,0.0109337294418572,-0.07892714082282713,-5.9298530703904264e-05
0.05800000000000004,0.0,-0.008701763291809642,3.1514489863534156,0.01131184844095362,-0.08081443525435764,-6.152045099284984e-05
0.06000000000000004,0.0,-0.008678775674268604,3.151285514825014,0.01167275791563299,-0.08264791207213079,-6.364800056109903e-05
0.06200000000000004,0.0,-0.008655083808543214,3.15111843121566,0.012016031571688377,-0.08442631478426399,-6.567871787196163e-05
0.06400000000000004,0.0,-0.00863072338314777,3.1509478468998964,0.012341254590577614,-0.08614842332073037,-6.761020431003327e-05
0.06600000000000004,0.0,-0.008605730904516076,3.15077387565528,0.012648023914924762,-0.08781305487159864,-6.944012582965004e-05
0.06800000000000005,0.0,-0.0085801436731999,3.1505966335870434,0.012935948526345026,-0.08941906470073707,-7.116621456131e-05
0.07000000000000005,0.0,-0.008553999759519641,3.150416239051156,0.013204649715391639,-0.09096534693441055,-7.278627037490135e-05
0.07200000000000005,0.0,-0.008527337978683143,3.15023281257583,0.013453761343427942,-0.09245083532421466,-7.429816239860362e-05
0.07400000000000005,0.0,-0.008500197865388992,3.1500464767815295,0.013682930096232473,-0.09387450398380709,-7.569983049235456e-05
0.07600000000000005,0.0,-0.008472619647931053,3.1498573562995307,0.013891815729150587,-0.09523536809891443,-7.698928667480139e-05
0.07800000000000006,0.0,-0.008444644221821281,3.149665577689093,0.014080091303611068,-0.09653248461010955,-7.816461650268731e-05
0.08000000000000006,0.0,-0.008416313122948306,3.1494712693532865,0.014247443414831968,-0.09776495286787232,-7.922398040165161e-05
0.08200000000000006,0.0,-0.008387668500289552,3.1492745614535416,0.014393572410545289,-0.09893191525946446,-8.016561494745455e-05
0.08400000000000006,0.0,-0.00835875308819503,3.1490755858229735,0.014518192600576517,-0.10003255780716858,-8.098783409666816e-05
0.08600000000000006,0.0,-0.008329610178261249,3.148874475878536,0.014621032457121094,-0.10106611073746104,-8.168903036591053e-05
0.08800000000000006,0.0,-0.008300283590814018,3.1486713665320702,0.014701834805565661,-0.1020318490207057,-8.22676759587347e-05
0.09000000000000007,0.0,-0.008270817646019167,3.1484663941003013,0.014760357005709301,-0.10292909288097815,-8.272232383931613e-05
0.09200000000000007,0.0,-0.008241257134640557,3.148259696213845,0.014796371123245826,-0.10375720827564794,-8.305160875212433e-05
0.09400000000000007,0.0,-0.00821164728846498,3.148051411725289,0.014809664091375702,-0.10451560734436857,-8.325424818679651e-05
0.09600000000000007,0.0,-0.0081820337504138,3.1478416806164042,0.014800037862422713,-0.10520374882714495,-8.332904328747395e-05
0.09800000000000007,0.0,-0.008152462544361472,3.147630643904551,0.014767309549337984,-0.10582113845116979,-8.327487970589847e-05
0.10000000000000007,0.0,-0.008122980044681245,3.147418443548346,0.01471131155698096,-0.10636732928614141,-8.309072839760839e-05
0.10200000000000008,0.0,-0.008093632945538632,3.147205222352647,0.014631891703074778,-0.10684192206779787,-8.277564636061287e-05
0.10400000000000008,0.0,-0.008064468229953367,3.1469911238729242,0.014528913328740633,-0.10724456548942367,-8.232877731596743e-05
0.10600000000000008,0.0,-0.008035533138650795,3.1467762923190805,0.014402255398523857,-0.1075749564611084,-8.174935232971395e-05
